stop_id,stop_name,stop_lat,stop_lon,agency
NODE_E09_ELV_E_BT,COLLEGE PARK-U OF MD,38.97835174,-76.92871693,WMATA
NODE_E09_ELV_E_TP,COLLEGE PARK-U OF MD,38.97835643,-76.92874032,WMATA
NODE_E09_ESC_E_BT,COLLEGE PARK-U OF MD,38.9782989,-76.9287154,WMATA
NODE_E09_ESC_W_BT,COLLEGE PARK-U OF MD,38.97819002,-76.92805875,WMATA
NODE_E09_MZ_ELV_BT,COLLEGE PARK-U OF MD,38.97841861,-76.92829178,WMATA
NODE_E09_MZ_ELV_TP,COLLEGE PARK-U OF MD,38.97842045,-76.92830245,WMATA
NODE_E09_MZ_ESC_N_BT,COLLEGE PARK-U OF MD,38.97848497,-76.92826483,WMATA
NODE_E09_MZ_ESC_N_TP,COLLEGE PARK-U OF MD,38.97866579,-76.92819346,WMATA
NODE_E09_MZ_ESC_S_BT,COLLEGE PARK-U OF MD,38.9783656,-76.92831098,WMATA
NODE_E09_MZ_ESC_S_TP,COLLEGE PARK-U OF MD,38.9781816,-76.92838085,WMATA
NODE_E09_MZ_FG_PAID,COLLEGE PARK-U OF MD,38.9783526,-76.92812184,WMATA
NODE_E09_MZ_FG_UNPAID,COLLEGE PARK-U OF MD,38.97833663,-76.9281127,WMATA
NODE_E10_MZ,GREENBELT,39.01099072,-76.91102649,WMATA
NODE_E10_MZ_ELV_BT,GREENBELT,39.01108135,-76.91120364,WMATA
NODE_E10_MZ_ELV_TP,GREENBELT,39.01107656,-76.91119488,WMATA
NODE_E10_MZ_ESC_N_BT,GREENBELT,39.0110172,-76.91125521,WMATA
NODE_E10_MZ_ESC_N_TP,GREENBELT,39.01087068,-76.91138676,WMATA
NODE_E10_MZ_ESC_S_BT,GREENBELT,39.01115535,-76.9111317,WMATA
NODE_E10_MZ_ESC_S_TP,GREENBELT,39.01130469,-76.91099926,WMATA
NODE_E10_MZ_FG_PAID,GREENBELT,39.01101768,-76.91107587,WMATA
NODE_E10_MZ_FG_UNPAID,GREENBELT,39.01100845,-76.91105896,WMATA
NODE_E10_PLATFORM,GREENBELT,39.01108195,-76.91124178,WMATA
PF_E08_1,"HYATTSVILLE CROSSING, GREEN/YELLOW LINE TRACK 1 PLATFORM",38.96522987,-76.95642218,WMATA
PF_E08_2,"HYATTSVILLE CROSSING, GREEN/YELLOW LINE TRACK 2 PLATFORM",38.96533773,-76.95641827,WMATA
PF_E09_C,"COLLEGE PARK-U OF MD, GREEN/YELLOW LINE CENTER PLATFORM",38.97829539,-76.92833781,WMATA
PF_E10_C,"GREENBELT, GREEN/YELLOW LINE CENTER PLATFORM",39.0110847,-76.91119571,WMATA
PLF_E08_YL_GR_GREENBELT,HYATTSVILLE CROSSING,38.96523164,-76.95631901,WMATA
PLF_E08_YL_GR_HUNTINGTON_BRANCH_AVE,HYATTSVILLE CROSSING,38.96533004,-76.95631524,WMATA
PLF_E09_GR_YL_BRANCH_AVE_HUNTINGTON,COLLEGE PARK-U OF MD,38.97841073,-76.92832678,WMATA
PLF_E09_GR_YL_GREENBELT,COLLEGE PARK-U OF MD,38.97839586,-76.92826355,WMATA
STN_E08,HYATTSVILLE CROSSING METRORAIL STATION,38.96529153,-76.95642247,WMATA
STN_E09,COLLEGE PARK-U OF MD METRORAIL STATION,38.97830324,-76.92834004,WMATA
STN_E10,GREENBELT METRORAIL STATION,39.01109343,-76.91119726,WMATA
UMD_1001,Regents Drive Garage,38.9869,-76.9447,Shuttle-UM
UMD_1701,Mitchell Building,38.986,-76.9431,Shuttle-UM
UMD_1705,Memorial Chapel,38.9852,-76.944,Shuttle-UM
UMD_2636,Ritchie Coliseum,38.9855,-76.9395,Shuttle-UM
UMD_1007,Stamp Student Union,38.9863,-76.9445,Shuttle-UM
