UMPD Case Number,Address
2022-00086545,4100 block of Library Ln
2022-00086933,"Commons 5, SCC 5, South Campus Commons 5 at 6903 Preinkert Dr"
2022-00086986,"DOTS, Lot B, Lot RR, PG2, RDG, Regents Drive Parking Garage, WAM Lab at 8056 Regents Dr"
2022-00086997,"Prince Frederick, Prince Frederick Hall at 7030 Preinkert Dr"
2022-00087022,7400 block of Baltimore Ave
2022-00087029,"Capital One Field, Football Stadium, SECU Stadium"
2022-00087224,Field Hockey & Women's Lacrosse Stadium at 8483 Paint Branch Dr
2022-00087255,La Plata Hall at 8160 La Plata Dr
2022-00087378,48th Ave
2022-00087387,Hagerstown Hall at 8075 Hagerstown Dr
2022-00087404,"Commons 1, SCC 1, South Campus Commons 1 at 4250 Lehigh Rd"
2022-00087417,Alumni Dr
2022-00087438,7500 block of Princeton Ave
2022-00087703,"Comcast Center, Xfinity, Xfinity Center at 8500 Paint Branch Dr"
2022-00087705,3800 block of Campus Dr
2022-00087737,"Lot 19, Lot U2, MLG, Mowatt Garage, Mowatt Lane Garage, Mowatt Lane Parking Garage, PG5 at 7591 Mowatt Ln"
2022-00087854,"MFRI, MFRI Office/Classroom Building at 4500 Campus Dr"
2022-00087859,"88, Martin Hall at 4298 Campus Dr"
2022-00087913,"17, Cecil, Cecil Hall at 7549 Calvert Service Ln"
2022-00088060,"78, Armory, Reckord Armory at 4490 Rossborough Ln"
2022-00088119,"46, Marie Mount, Marie Mount Hall at 7814 Regents Dr"
2022-00088210,7500 block of Yale Ave
2022-00088226,Baltimore Ave
2022-00088391,"Prince Frederick, Prince Frederick Hall at 7030 Preinkert Dr"
2022-00088412,4600 block of College Ave
2022-00088748,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
2022-00089143,"Lot 19, Lot U2, MLG, Mowatt Garage, Mowatt Lane Garage, Mowatt Lane Parking Garage, PG5 at 7591 Mowatt Ln"
2022-00089151,"73, H.J. Patterson Hall, HJ Patterson Hall at 4065 Campus Dr"
2022-00089321,Baltimore Ave
2022-00089376,7300 block of Baltimore Ave
2022-00089400,Campus Dr
2022-00089423,"Commons 3, SCC 3, South Campus Commons 3 at 4318 Knox Rd"
2022-00089444,"Elkton, Elkton Hall at 3981 Denton Service Ln"
2022-00089532,"Drazek Circle, UMGC at 346 Ehrensberger Dr"
2022-00089555,"Tawes, Tawes Hall at 7751 Alumni Dr"
2022-00089567,"Capital One Field, Football Stadium, SECU Stadium"
2022-00089594,4300 block of Hartwick Rd
2022-00089596,"Ellicott, Ellicott Hall at 4052 Stadium Dr"
2022-00089615,Campus Dr
2022-00089619,8143 Fieldhouse Dr
2022-00089641,University Blvd
2022-00089647,Hagerstown Hall at 8075 Hagerstown Dr
2022-00089726,Baltimore Ave
2022-00089843,8000 block of Hagerstown Dr
2022-00089868,4200 block of Valley Dr
2022-00090010,Regents Dr
2022-00090022,University Blvd
2022-00090037,Regents Dr
2022-00090096,"Architecture, Architecture Building at 3835 Campus Dr"
2022-00090102,"Animal Science Service Building, Campus Farm at 8156 Regents Dr"
2022-00090106,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
2022-00090250,Dunkin DonutsLandmark Apartments at 4500 College Ave
2022-00090332,4400 block of Lehigh Rd
2022-00090522,6230 Briar Ct
2022-00090665,"Frat 7, Lamda Chi Alpha Fraternity at 7 Fraternity Row"
2022-00090676,Adelphi Rd
2022-00091096,Baltimore Ave
2022-00091130,8100 block of Baltimore Ave
2022-00091146,Metzerott Rd
2022-00091172,Metzerott Rd
2022-00091220,"A James Clark Hall, A. James Clark Hall, A.J. Clark Hall, Clark, Clark Hall at 8278 Paint Branch Dr"
2022-00091297,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
2022-00091385,University Blvd
2022-00091787,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
2022-00092170,8100 block of Fieldhouse Dr
2022-00092272,"Pyon Chen, Pyon-Chen Hall at 8097 La Plata Dr"
2022-00092310,"Elkton, Elkton Hall at 3981 Denton Service Ln"
2022-00092661,University Courtyard #4 at 8400 Boteler Ln
2022-00092715,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
2022-00092781,"39, Van Munching, Van Munching Hall at 7699 Mowatt Ln"
2022-00092888,"Elkton, Elkton Hall at 3981 Denton Service Ln"
2022-00093042,"91, Chemistry, Chemistry Building at 8051 Regents Dr"
2022-00093047,6000 block of Osage St
2022-00093081,Yahentamitsi at 4136 Stadium Dr
2022-00093102,"68, Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr"
2022-00093134,8100 block of Fieldhouse Dr
2022-00093293,"Avrum Gudelsky Veterinary Center, Vet Med at 8075 Greenmead Dr"
2022-00093295,7500 block of Calvert Service Ln
2022-00093298,"DOTS, Lot B, Lot RR, PG2, RDG, Regents Drive Parking Garage, WAM Lab at 8056 Regents Dr"
2022-00093314,"DOTS, Lot B, Lot RR, PG2, RDG, Regents Drive Parking Garage, WAM Lab at 8056 Regents Dr"
2022-00093490,7500 block of Calvert Service Ln
2022-00093528,"Brendan Iribe Center, Iribe Center at 8125 Paint Branch Dr"
2022-00093533,"32, Montgomery, Montgomery Hall at 7570 Regents Dr"
2022-00093534,Health Center at 3983 Campus Dr
2022-00093597,7400 block of Calvert Service Ln
2022-00093734,Hartwick Rd
2022-00093739,Knox Rd
2022-00093778,La Plata Hall at 8160 La Plata Dr
2022-00093821,"Edward St. John Learning and Teaching Center, ESJ at 4131 Campus Dr"
2022-00093822,"Football Team House, Gossett, Gossett Football Team House at 4068 Fieldhouse Dr"
2022-00093839,Lot N9
2022-00093912,"Comcast Center, Xfinity, Xfinity Center at 8500 Paint Branch Dr"
2022-00093998,Yahentamitsi at 4136 Stadium Dr
2022-00094039,8000 block of Hagerstown Dr
2022-00094217,"Club House, Golf Course Club House at 3800 Golf Course Rd"
2022-00094220,4200 block of Lehigh Rd
2022-00094230,7400 block of Princeton Ave
2022-00094231,"Phi Sigma Sigma Sorority, Phi Sigma Simga at 4531 College Ave"
2022-00094306,Baltimore Ave
2022-00094357,"A.V. Williams Building, AV Williams at 8223 Paint Branch Dr"
2022-00094362,Lot 1d
2022-00094470,"68, Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr"
2022-00094643,Cumberland Hall at 4250 Farm Dr
2022-00094941,7500 block of Regents Dr
2022-00094942,4200 block of Farm Dr
2022-00094945,"39, Van Munching, Van Munching Hall at 7699 Mowatt Ln"
2022-00094943,South Gate at 7567 Regents Dr
2022-00095001,"Clarice Smith Performing Arts Center, CSPAC at 8270 Alumni Dr"
2022-00095063,8700 block of Baltimore Ave
2022-00095130,Campus Dr
2022-00095136,"Denton, Denton Hall at 3854 Stadium Dr"
2022-00095216,7600 block of Preinkert Dr
2022-00095227,Health Center at 3983 Campus Dr
2022-00095228,"Football Team House, Gossett, Gossett Football Team House at 4068 Fieldhouse Dr"
2022-00095230,7700 block of Baltimore Ave
2022-00095293,8500 block of Boteler Ln
2022-00095297,"Benjamin, Benjamin Bldg, Benjamin Building at 3942 Campus Dr"
2022-00095376,Alpha Phi Sorority at 7402 Princeton Ave
2022-00095385,Baltimore Ave
2022-00095520,"Commons 3, SCC 3, South Campus Commons 3 at 4318 Knox Rd"
2022-00095533,"84, Kirwan Hall, Mathematics, Mathematics Building, William E. Kirwan Hall, William Kirwan Hall at 4176 Campus Dr"
2022-00095537,"Club House, Golf Course Club House at 3800 Golf Course Rd"
2022-00095549,3500 block of University Blvd
2022-00095580,"6, Plant Operations & Maintenance Shops, WeWork at 7761 Diamondback Dr"
2022-00095752,"Denton Area Dining Hall, Denton Dining Hall at 3951 Denton Service Ln"
2022-00095818,Alpha Phi Sorority at 7402 Princeton Ave
2022-00096148,"Chestertown, Chestertown Hall at 4201 Valley Dr"
2022-00096158,Yahentamitsi at 4136 Stadium Dr
2022-00096393,University Blvd
2022-00096451,Cumberland Hall at 4250 Farm Dr
2022-00096454,4000 block of Stadium Dr
2022-00096498,"Architecture, Architecture Building at 3835 Campus Dr"
2022-00096623,8000 block of Hagerstown Dr
2022-00096745,9000 block of Saint Andrews Pl
2022-00097099,7100 block of Baltimore Ave
2022-00097215,4000 block of Union Dr
2022-00097258,"Art Soc, Art Sociology Building, Art-Sociology Building, Parren J. Mitchell Art-Sociology Building at 3834 Campus Dr"
2022-00097343,"Elkton, Elkton Hall at 3981 Denton Service Ln"
2022-00097344,University Courtyard #4 at 8400 Boteler Ln
2022-00097391,"68, Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr"
2022-00097441,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
2022-00097518,Yale Ave /yale Ave
2022-00097686,4200 block of Chapel Ln
2022-00097706,"Applied Research Lab for Intelligence and Security, ARLIS, CASL, Center for the Advanced Study of Language at 7005 52nd Ave"
2022-00097719,"Commons 2, SCC 2, South Campus Commons 2 at 7524 Calvert Service Ln"
2022-00098030,4200 block of Campus Dr
2022-00098068,4400 block of Lehigh Rd
2022-00098313,"Center for Young Children, CYC at 4028 Valley Dr"
2022-00098378,4700 block of Howard Ln
2022-00098391,Yahentamitsi at 4136 Stadium Dr
2022-00098402,4200 block of Lehigh Rd
2022-00098427,Baltimore Ave
2022-00098441,"Prince Frederick, Prince Frederick Hall at 7030 Preinkert Dr"
2022-00098545,"Lot HH, PG1, ULG, Union Lane Garage, Union Lane Parking Garage at 4170 Union Ln"
2022-00098641,4100 block of Valley Dr
2022-00098658,"88, Martin Hall at 4298 Campus Dr"
2022-00098659,"68, Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr"
2022-00098763,3900 block of Campus Dr
2022-00098786,Baltimore Ave
2022-00098802,7600 block of Regents Dr
2022-00099009,"Denton Area Dining Hall, Denton Dining Hall at 3951 Denton Service Ln"
2022-00099015,University Courtyard #4 at 8400 Boteler Ln
2022-00099110,4500 block of College Ave
2022-00099160,Cumberland Hall at 4250 Farm Dr
2022-00099181,University Blvd
2022-00099182,Campus Dr
2022-00099232,"61, Queen Anne, Queen Anne's Hall at 7645 Preinkert Dr"
2022-00099351,"68, Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr"
2022-00099631,"Commons 5, SCC 5, South Campus Commons 5 at 6903 Preinkert Dr"
2022-00099643,Baltimore Ave
2022-00099648,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
2022-00099650,"35, McKeldin Library at 7649 Library Ln"
2022-00099705,Yahentamitsi at 4136 Stadium Dr
2022-00099738,"96, Cambridge, Cambridge Hall at 4230 Farm Dr"
2022-00100242,"89, C. D. Mote, Jr. Engineering Laboratory at 8136 Paint Branch Dr"
2022-00100311,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
2022-00101656,"90, Chem Nuc, Chemical & Nuclear Engineering at 4418 Stadium Dr"
2022-00101871,4500 block of College Ave
2022-00102770,"Lot 19, Lot U2, MLG, Mowatt Garage, Mowatt Lane Garage, Mowatt Lane Parking Garage, PG5 at 7591 Mowatt Ln"
2022-00102866,"88, Martin Hall at 4298 Campus Dr"
2022-00103213,Campus Dr
2022-00103454,Graduate Hills Apartment #287 at 3410 Tulane Dr
2023-00000110,"Club House, Golf Course Club House at 3800 Golf Course Rd"
2023-00000111,7700 block of Adelphi Rd
2023-00000669,3400 block of Tulane Dr
2023-00000777,Campus Dr
2023-00000896,"Lot 19, Lot U2, MLG, Mowatt Garage, Mowatt Lane Garage, Mowatt Lane Parking Garage, PG5 at 7591 Mowatt Ln"
2023-00000914,"Motor Pool, Severn, Severn Building, Terp Trader, Washington Post Building at 5245 Greenbelt Rd"
2023-00001082,Mowatt Ln
2023-00001287,"Litton, Police Services & Training Facility at 7147 51st Ave"
2023-00001301,"Ellicott Area Dining Hall, Ellicott Dining Hall at 4028 Stadium Dr"
2023-00001570,Baltimore Ave
2023-00001612,"Terrapin Row, Terrapin Row #2, Terrapin Row 2, TR2 at 4300 Hartwick Rd"
2023-00001712,"PGUC, UMGC Parking Garage at 347 Ehrensberger Dr"
2023-00001854,4800 block of College Ave
2023-00002154,"Lot 6, PG4, Terrapin Trail Parking Garage, TTG at 4155 Terrapin Trl"
2023-00002340,Breezewood Dr
2023-00002790,La Plata Hall at 8160 La Plata Dr
2023-00002849,University Courtyard #4 at 8400 Boteler Ln
2023-00003160,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
2023-00003184,7400 block of Columbia Ave
2023-00003392,"Ellicott Area Dining Hall, Ellicott Dining Hall at 4028 Stadium Dr"
2023-00003414,"A James Clark Hall, A. James Clark Hall, A.J. Clark Hall, Clark, Clark Hall at 8278 Paint Branch Dr"
2023-00003526,Lot 11b
2023-00003731,University Blvd
2023-00003800,3900 block of Campus Dr
2023-00003848,8400 block of Baltimore Ave
2023-00003874,"68, Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr"
2023-00004179,"Lot HH, PG1, ULG, Union Lane Garage, Union Lane Parking Garage at 4170 Union Ln"
2023-00004351,University Blvd
2023-00004417,8200 block of Paint Branch Dr
2023-00004431,Health Center at 3983 Campus Dr
2023-00004784,Baltimore Ave
2023-00005136,8100 block of Baltimore Ave
2023-00005206,Adelphi Rd
2023-00005441,11308 Treeview Lane
2023-00005501,West Gate at 3841 Stadium Dr
2023-00005548,Lot R3
2023-00005738,"Capital One Field, Football Stadium, SECU Stadium"
2023-00005820,8200 block of Alumni Dr
2023-00005853,8600 block of Boteler Ln
2023-00005877,8400 block of Boteler Ln
2023-00006163,Lot FF2
2023-00006389,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
2023-00006405,4200 block of Valley Dr
2023-00006506,Shuttle Bus Facility at 8537 Paint Branch Dr
2023-00006535,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
2023-00006818,4200 block of Lehigh Rd
2023-00006884,8200 block of Paint Branch Dr
2023-00006990,Baltimore Ave
2023-00007132,"82, John S. Toll Physics Building, Physics, Physics Building at 4150 Campus Dr"
2023-00007393,Baltimore Ave
2023-00007486,"96, Cambridge, Cambridge Hall at 4230 Farm Dr"
2023-00007637,262 at 4305 Rowalt Dr
2023-00007777,Yahentamitsi at 4136 Stadium Dr
2023-00007810,"Comcast Center, Xfinity, Xfinity Center at 8500 Paint Branch Dr"
2023-00007820,"Lot 19, Lot U2, MLG, Mowatt Garage, Mowatt Lane Garage, Mowatt Lane Parking Garage, PG5 at 7591 Mowatt Ln"
2023-00007846,University Courtyard #7 at 8700 Boteler Ln
2023-00008054,Paint Branch Gate at 8966 Paint Branch Dr
2023-00008060,3900 block of Denton Service Ln
2023-00008094,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
2023-00008095,"Denton, Denton Hall at 3854 Stadium Dr"
2023-00008101,"96, Cambridge, Cambridge Hall at 4230 Farm Dr"
2023-00008118,"Ellicott Area Dining Hall, Ellicott Dining Hall at 4028 Stadium Dr"
2023-00008142,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
2023-00008143,"Denton, Denton Hall at 3854 Stadium Dr"
2023-00008386,7000 block of Preinkert Dr
2023-00008416,8100 block of Boteler Ln
2023-00008420,Lot UU
2023-00008423,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
2023-00008465,4200 block of Lehigh Rd
2023-00008464,UMGC Hotel at 348 Ehrensberger Dr
2023-00008472,University Blvd
2023-00008493,"68, Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr"
2023-00008659,"32, Montgomery, Montgomery Hall at 7570 Regents Dr"
2023-00008663,"88, Martin Hall at 4298 Campus Dr"
2023-00008818,"Commons 7, SCC 7, South Campus Commons 7 at 6801 Preinkert Dr"
2023-00008832,Baltimore Ave
2023-00008912,La Plata Hall at 8160 La Plata Dr
2023-00008928,University Blvd
2023-00008935,8400 block of Baltimore Ave
2023-00009008,"Delta Chi Fraternity, Frat 6 at 6 Fraternity Row"
2023-00009076,7300 block of River Rd
2023-00009157,Health Center at 3983 Campus Dr
2023-00009160,"Bob Turtle Smith Stadium, Shipley Field, Shipley Field at Bob ""Turtle"" Smith Stadium, Turtle Stadium at 4122 Fieldhouse Dr"
2023-00009244,"11, The Hall at 4656 Hotel Dr"
2023-00009271,815 at 7401 Baltimore Ave
2023-00009343,"76, Symons Hall at 7998 Regents Dr"
2023-00009346,7500 block of Preinkert Dr
2023-00009357,7300 block of Baltimore Ave
2023-00009664,Hagerstown Hall at 8075 Hagerstown Dr
2023-00009787,"Clarice Smith Performing Arts Center, CSPAC at 8270 Alumni Dr"
2023-00009998,La Plata Hall at 8160 La Plata Dr
2023-00010154,"47, Woods, Woods Hall at 4302 Chapel Ln"
2023-00010172,Hagerstown Hall at 8075 Hagerstown Dr
2023-00010178,"E. A. Fernandez Idea Factory, Idea Factory at 4462 Stadium Dr"
2023-00010247,"84, Kirwan Hall, Mathematics, Mathematics Building, William E. Kirwan Hall, William Kirwan Hall at 4176 Campus Dr"
2023-00010508,University Blvd
2023-00010514,"Denton Area Dining Hall, Denton Dining Hall at 3951 Denton Service Ln"
2023-00010516,"38, Lefrak, Lefrak Hall at 7251 Preinkert Dr"
2023-00010535,"Satellite Central Utilities Building 4, SCUB 4 at 4455 Stadium Dr"
2023-00010585,4200 block of Farm Dr
2023-00010598,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
2023-00010631,4300 block of Knox Rd
2023-00010807,"DOTS, Lot B, Lot RR, PG2, RDG, Regents Drive Parking Garage, WAM Lab at 8056 Regents Dr"
2023-00010816,"Commons 4, SCC 4, South Campus Commons 4 at 4310 Knox Rd"
2023-00010833,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
2023-00010834,"Tawes, Tawes Hall at 7751 Alumni Dr"
2023-00010872,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
2023-00010922,4300 block of Hartwick Rd
2023-00011019,"Computer Science Instructional Center, CSIC at 8169 Paint Branch Dr"
2023-00011162,4100 block of Campus Dr
2023-00011168,Union Ln
2023-00011179,4200 block of Lehigh Rd
2023-00011196,Animal Science Building at 8127 Regents Dr
2023-00011217,"68, Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr"
2023-00011370,University Blvd
2023-00011503,8500 block of Paint Branch Dr
2023-00011687,"35, McKeldin Library at 7649 Library Ln"
2023-00011695,"96, Cambridge, Cambridge Hall at 4230 Farm Dr"
2023-00012032,"Domain, Domain College Park, The Domain at 3711 Campus Dr"
2023-00012059,Guilford Dr
2023-00012071,Admissions Welcome Center at 7777 Baltimore Ave
2023-00012242,6 Fraternity Row
2023-00012258,Graduate Hills Apartment #290 at 3425 Tulane Dr
2023-00012308,"Pyon Chen, Pyon-Chen Hall at 8097 La Plata Dr"
2023-00012401,"HHP, PERH, Public Health, School of Public Health Building, SPH at 4200 Valley Dr"
2023-00012447,Hagerstown Hall at 8075 Hagerstown Dr
2023-00012451,Health Center at 3983 Campus Dr
2023-00012550,4200 block of Chapel Ln
2023-00012570,UMGC Hotel at 348 Ehrensberger Dr
2023-00012733,495 / 198
2023-00012833,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
2023-00012860,University Courtyard #1 at 8100 Boteler Ln
2023-00012858,"Seneca Building, UC Center, University Centre at 4716 Pontiac St"
2023-00012861,"Archives, National Archives at 8601 Adelphi Rd"
2023-00012927,8100 block of Baltimore Ave
2023-00013031,South Gate at 7567 Regents Dr
2023-00013165,"91, Chemistry, Chemistry Building at 8051 Regents Dr"
2023-00013169,8400 block of Boteler Ln
2023-00013180,"Lot 6, PG4, Terrapin Trail Parking Garage, TTG at 4155 Terrapin Trl"
2023-00013192,"PG3, SDG, Stadium Drive Garage, Stadium Drive Parking Garage at 4025 Stadium Dr"
2023-00013202,University Courtyard #2 at 8200 Boteler Ln
2023-00013465,"31, Garrett, Garrett Hall at 7570 Calvert Service Ln"
2023-00013489,"Bio Psych, Biology-Psychology Building at 4094 Campus Dr"
2023-00013543,"Riggs, Riggs Alumni, Riggs Alumni Center at 7801 Alumni Dr"
2023-00013892,8000 block of Hagerstown Dr
2023-00013990,"Commons 3, SCC 3, South Campus Commons 3 at 4318 Knox Rd"
2023-00013903,"PG3, SDG, Stadium Drive Garage, Stadium Drive Parking Garage at 4025 Stadium Dr"
2023-00013991,8500 block of Boteler Ln
2023-00014148,Regents Dr
2023-00014158,Greenbelt Rd
2023-00014159,College Park Towers (Knox Road) at 4313 Knox Rd
2023-00014222,University Blvd
2023-00014417,Baltimore Ave
2023-00014428,Hagerstown Hall at 8075 Hagerstown Dr
2023-00014441,Baltimore Ave
2023-00014447,"Elkton, Elkton Hall at 3981 Denton Service Ln"
2023-00014530,University Blvd
2023-00014632,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
2023-00014687,"DOTS, Lot B, Lot RR, PG2, RDG, Regents Drive Parking Garage, WAM Lab at 8056 Regents Dr"
2023-00014724,4600 block of College Ave
2023-00014774,"Lot HH, PG1, ULG, Union Lane Garage, Union Lane Parking Garage at 4170 Union Ln"
2023-00014912,"Bio Psych, Biology-Psychology Building at 4094 Campus Dr"
2023-00014949,"DOTS, Lot B, Lot RR, PG2, RDG, Regents Drive Parking Garage, WAM Lab at 8056 Regents Dr"
2023-00014956,"14, Harford Hall at 7660 Regents Dr"
2023-00014957,Hagerstown Hall at 8075 Hagerstown Dr
2023-00014992,"Sigma Delta Tau, Sigma Delta Tau Sorority at 4516 Knox Rd"
2023-00015040,Campus Dr
2023-00015101,"DOTS, Lot B, Lot RR, PG2, RDG, Regents Drive Parking Garage, WAM Lab at 8056 Regents Dr"
2023-00015102,Hagerstown Hall at 8075 Hagerstown Dr
2023-00015111,Hagerstown Hall at 8075 Hagerstown Dr
2023-00015114,"DOTS, Lot B, Lot RR, PG2, RDG, Regents Drive Parking Garage, WAM Lab at 8056 Regents Dr"
2023-00015123,4200 block of Valley Dr
2023-00015136,Yahentamitsi at 4136 Stadium Dr
2023-00015165,"Commons 1, SCC 1, South Campus Commons 1 at 4250 Lehigh Rd"
2023-00015185,"4, Ritchie Coliseum at 7675 Baltimore Ave"
2023-00015220,8000 block of La Plata Dr
2023-00015275,University Blvd
2023-00015332,7700 block of Adelphi Rd
2023-00015378,"82, John S. Toll Physics Building, Physics, Physics Building at 4150 Campus Dr"
2023-00015400,"9, Chapel, Memorial Chapel at 7744 Regents Dr"
2023-00015432,"DOTS, Lot B, Lot RR, PG2, RDG, Regents Drive Parking Garage, WAM Lab at 8056 Regents Dr"
2023-00015436,"Ellicott, Ellicott Hall at 4052 Stadium Dr"
2023-00015499,"Lot 19, Lot U2, MLG, Mowatt Garage, Mowatt Lane Garage, Mowatt Lane Parking Garage, PG5 at 7591 Mowatt Ln"
2023-00015616,4000 block of Stadium Dr
2023-00015633,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
2023-00015661,Graduate Hills Apartment #286 at 3400 Tulane Dr
2023-00015674,Health Center at 3983 Campus Dr
2023-00015679,4200 block of Chapel Ln
2023-00015704,"69, Wicomico, Wicomico Hall at 7218 Preinkert Dr"
2023-00015742,"Comcast Center, Xfinity, Xfinity Center at 8500 Paint Branch Dr"
2023-00015744,"Comcast Center, Xfinity, Xfinity Center at 8500 Paint Branch Dr"
2023-00015770,Hagerstown Hall at 8075 Hagerstown Dr
2023-00015832,University Blvd
2023-00015865,University Blvd
2023-00015976,4100 block of Library Ln
2023-00015994,"DOTS, Lot B, Lot RR, PG2, RDG, Regents Drive Parking Garage, WAM Lab at 8056 Regents Dr"
2023-00016079,"16, Baltimore, Baltimore Hall at 7497 Calvert Service Ln"
2023-00016087,6800 block of Preinkert Dr
2023-00016127,6800 block of Preinkert Dr
2023-00016210,Baltimore Ave
2023-00016216,Baltimore Ave
2023-00016224,Johnson-Whittle Hall at 4118 Stadium Dr
2023-00016225,4200 block of Lehigh Rd
2023-00016229,4200 block of Lehigh Rd
2023-00016231,Hagerstown Hall at 8075 Hagerstown Dr
2023-00016232,"68, Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr"
2023-00016352,"DOTS, Lot B, Lot RR, PG2, RDG, Regents Drive Parking Garage, WAM Lab at 8056 Regents Dr"
2023-00016386,"HHP, PERH, Public Health, School of Public Health Building, SPH at 4200 Valley Dr"
2023-00016405,38.9827658506793;-76.9333009201224 / Adjacent To L
2023-00016420,"14, Harford Hall at 7660 Regents Dr"
2023-00016419,"Alpha Sigma Phi, Frat 9 at 9 Fraternity Row"
2023-00016491,"Commons 3, SCC 3, South Campus Commons 3 at 4318 Knox Rd"
2023-00016496,"Denton, Denton Hall at 3854 Stadium Dr"
2023-00016495,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
2023-00016502,Jull Hall at 4196 Stadium Dr
2023-00016506,3900 block of Denton Service Ln
2023-00016915,"69, Wicomico, Wicomico Hall at 7218 Preinkert Dr"
2023-00017059,"Denton Area Dining Hall, Denton Dining Hall at 3951 Denton Service Ln"
2023-00017070,"A.V. Williams Building, AV Williams at 8223 Paint Branch Dr"
2023-00017340,"68, Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr"
2023-00017363,"68, Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr"
2023-00017403,"College Park Shopping Center, CVS at 7300 Baltimore Ave"
2023-00017404,"37, Shoemaker, Shoemaker Building at 4281 Chapel Ln"
2023-00017414,"Comcast Center, Xfinity, Xfinity Center at 8500 Paint Branch Dr"
2023-00017454,Baltimore Ave
2023-00017459,"PGUC, UMGC Parking Garage at 347 Ehrensberger Dr"
2023-00017546,"35, McKeldin Library at 7649 Library Ln"
2023-00017560,8100 block of La Plata Dr
2023-00017626,"34, Jimenez, Jimenez Hall at 4125 N Library Ln"
2023-00017676,3800 block of Campus Dr
2023-00017701,"26, South Campus Dining Hall at 7093 Preinkert Dr"
2023-00017855,4400 block of Lehigh Rd
2023-00017944,Lot 1c
2023-00018036,McKeldin Mall
2023-00018427,3900 block of Campus Dr
2023-00018455,4600 block of Rossborough Ln
2023-00018458,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
2023-00018480,495 / Baltimore Ave
2023-00018616,4200 block of Valley Dr
2023-00018633,Baltimore Ave
2023-00018664,8000 block of Hagerstown Dr
2023-00018823,4200 block of Farm Dr
2023-00018826,8100 block of Paint Branch Dr
2023-00018903,"Alpha Chi Omega, Alpha Chi Omega Sorority at 4525 College Ave"
2023-00018911,3400 block of Tulane Dr
2023-00018912,Tecumseh St
2023-00018914,"Denton, Denton Hall at 3854 Stadium Dr"
2023-00018915,"Lot 19, Lot U2, MLG, Mowatt Garage, Mowatt Lane Garage, Mowatt Lane Parking Garage, PG5 at 7591 Mowatt Ln"
2023-00018947,3400 block of Tulane Dr
2023-00019013,"Comcast Center, Xfinity, Xfinity Center at 8500 Paint Branch Dr"
2023-00019017,"22, Kent, Kent Hall at 7565 Calvert Service Ln"
2023-00019026,"PGUC, UMGC Parking Garage at 347 Ehrensberger Dr"
2023-00019125,Baltimore Ave
2023-00019242,3900 block of Denton Service Ln
2023-00019349,"4, Ritchie Coliseum at 7675 Baltimore Ave"
2023-00019340,4000 block of Stadium Dr
2023-00019404,4500 block of College Ave
2023-00019439,"Commons 7, SCC 7, South Campus Commons 7 at 6801 Preinkert Dr"
2023-00019476,Johnson-Whittle Hall at 4118 Stadium Dr
2023-00019580,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
